Time	RHipMomentX	RHipMomentY	RHipMomentZ	LHipMomentX	LHipMomentY	LHipMomentZ	RKneeMomentX	RKneeMomentY	RKneeMomentZ	LKneeMomentX	LKneeMomentY	LKneeMomentZ	RAnkleMomentX	RAnkleMomentY	RAnkleMomentZ	LAnkleMomentX	LAnkleMomentY	LAnkleMomentZ	RGRFX	RGRFY	RGRFZ	LGRFX	LGRFY	LGRFZ
41	0.652229	0.111414	0.434074	0.735118	0.120863	0.445472	0.365431	0.134181	-0.111157	0.441938	0.13152	-0.0128483	0.0602025	0.277144	0.878896	0.0653917	0.241087	0.717335	0.290826	8.94625	0.326214	0.237043	8.87924	0.400953
42	0.678139	0.120466	0.472099	0.753998	0.126878	0.480053	0.374196	0.145275	-0.130404	0.442178	0.140407	-0.027105	0.0700963	0.306756	0.965005	0.0782983	0.26629	0.79372	0.314928	9.14443	0.359084	0.269887	9.07314	0.429058
43	0.701948	0.126999	0.508019	0.77106	0.132373	0.516558	0.383689	0.15507	-0.147864	0.441497	0.148353	-0.042505	0.0815537	0.337134	1.052	0.09281	0.292607	0.874713	0.348313	9.36485	0.393894	0.306535	9.27497	0.458142
44	0.719945	0.130619	0.544776	0.78446	0.135053	0.553615	0.392099	0.162869	-0.162336	0.43779	0.154583	-0.0570733	0.0955025	0.367209	1.13725	0.108723	0.319193	0.958123	0.396804	9.60796	0.426534	0.347248	9.47244	0.4871
45	0.733245	0.1316	0.58154	0.794043	0.134653	0.586883	0.39859	0.168136	-0.172985	0.430818	0.158523	-0.0700067	0.112364	0.39591	1.21792	0.12593	0.345323	1.0413	0.465181	9.86726	0.453475	0.392933	9.65732	0.51476
46	0.741623	0.130836	0.618295	0.798437	0.132338	0.617113	0.402498	0.170681	-0.178291	0.421202	0.160148	-0.0797417	0.131866	0.422456	1.2913	0.144208	0.370475	1.12119	0.555023	10.1291	0.472125	0.445002	9.82584	0.539447
47	0.743644	0.128635	0.657554	0.795722	0.128908	0.647613	0.40289	0.170851	-0.176211	0.408812	0.159547	-0.0838	0.153089	0.446416	1.35495	0.162643	0.394003	1.19474	0.664469	10.3721	0.481368	0.506055	9.97449	0.55876
48	0.742116	0.124342	0.693451	0.78945	0.12415	0.67401	0.399744	0.168772	-0.167196	0.39346	0.156595	-0.0813217	0.175131	0.467324	1.40636	0.180005	0.415153	1.2589	0.79017	10.5691	0.484409	0.57967	10.095	0.570547
49	0.737753	0.11764	0.719019	0.779677	0.116812	0.692827	0.392807	0.164654	-0.152832	0.374683	0.151237	-0.0722317	0.197066	0.484815	1.44331	0.195527	0.433203	1.31061	0.928694	10.6936	0.486074	0.667763	10.1717	0.573817
50	0.730552	0.10925	0.73566	0.762732	0.106317	0.703115	0.382873	0.159171	-0.132784	0.352398	0.143483	-0.057085	0.217709	0.4986	1.46377	0.20919	0.447563	1.34687	1.07611	10.7243	0.488399	0.769198	10.1845	0.568305
51	0.717029	0.0983625	0.738515	0.734583	0.0938367	0.70303	0.369411	0.152284	-0.106824	0.32623	0.133458	-0.0376217	0.23627	0.507907	1.46539	0.22178	0.457958	1.36541	1.22626	10.642	0.488945	0.881768	10.1181	0.553757
52	0.686904	0.0844637	0.723566	0.694213	0.08006	0.687295	0.349814	0.143166	-0.075985	0.296395	0.121432	-0.0159233	0.252476	0.511295	1.44559	0.233937	0.464338	1.36509	1.3693	10.4283	0.481241	1.00194	9.96368	0.529268
53	0.634578	0.06845	0.691266	0.64173	0.0659517	0.657523	0.320856	0.130625	-0.04248	0.262337	0.108002	0.00725167	0.266136	0.507035	1.40242	0.244808	0.466373	1.34528	1.49358	10.0687	0.456591	1.12253	9.71129	0.493052
54	0.56467	0.052145	0.643125	0.577385	0.052745	0.622093	0.281471	0.114498	-0.0085075	0.22322	0.0942233	0.032075	0.276054	0.494301	1.33577	0.252375	0.46334	1.3056	1.58998	9.56033	0.40954	1.23471	9.34601	0.4425
55	0.487126	0.03682	0.587581	0.506068	0.0424067	0.58483	0.235209	0.09613	0.02627	0.181195	0.08108	0.0575617	0.279251	0.472325	1.2465	0.254442	0.45422	1.24596	1.65065	8.90796	0.338603	1.32989	8.85565	0.376338
56	0.401695	0.02267	0.533604	0.42841	0.035005	0.546647	0.184234	0.0767737	0.0614188	0.138398	0.06848	0.08263	0.272468	0.438994	1.13433	0.249625	0.43692	1.16542	1.66765	8.10837	0.24738	1.39828	8.2296	0.295113
57	0.303809	0.0110175	0.486256	0.34247	0.02831	0.506195	0.128061	0.057455	0.0940525	0.0956317	0.055165	0.105762	0.253081	0.391591	0.99769	0.237582	0.408222	1.06201	1.63037	7.14794	0.143968	1.42759	7.45864	0.201903
58	0.199275	0.0039225	0.444383	0.252928	0.0224083	0.465068	0.0702375	0.03948	0.120669	0.0558233	0.040505	0.125548	0.220521	0.328606	0.835884	0.218325	0.365787	0.934178	1.52182	6.01916	0.040695	1.40081	6.54214	0.106065
59	0.106026	0.00146875	0.396675	0.170415	0.016655	0.421865	0.021255	0.0243925	0.138031	0.0232717	0.025225	0.13954	0.177218	0.253451	0.65277	0.191723	0.310133	0.78354	1.32021	4.75436	-0.0438112	1.30035	5.49945	0.0202617
60	0.0347688	0.000765	0.336434	0.100762	0.0107067	0.374348	-0.0097075	0.0122963	0.142874	0.00113	0.0109267	0.144497	0.128368	0.174611	0.460581	0.157737	0.244692	0.616228	1.01843	3.44835	-0.093555	1.11498	4.37517	-0.0397133
61	-0.0192	0.000485	0.272552	0.041105	0.00629333	0.31937	-0.0235312	0.0025025	0.129263	-0.011655	-0.000443333	0.13479	0.0807963	0.103573	0.280714	0.11797	0.175465	0.443872	0.655668	2.24524	-0.10042	0.858613	3.23846	-0.0636683
62	-0.0707975	0.00293375	0.227058	-0.0148333	0.004825	0.267482	-0.0320112	-0.006345	0.09768	-0.0216067	-0.00932833	0.117017	0.0411975	0.0488388	0.136815	0.079155	0.111647	0.289713	0.316275	1.28836	-0.0772513	0.582845	2.23716	-0.06122
63	-0.116609	0.0105663	0.221975	-0.0567183	0.00659833	0.236398	-0.04109	-0.0122613	0.0644587	-0.0283733	-0.0140683	0.0952717	0.01369	0.0142375	0.0419625	0.0453233	0.05924	0.162815	0.0808738	0.643274	-0.044975	0.326673	1.41174	-0.04047
64	-0.122531	0.018465	0.204043	-0.0847383	0.0134417	0.198302	-0.0377737	-0.0108475	0.0135363	-0.0353833	-0.0135317	0.057345	-0.00417	-0.004775	-0.0147812	0.01946	0.023025	0.0716917	-0.0139938	0.144289	-0.0149787	0.140127	0.769118	-0.0194217
65	-0.0916025	0.0274463	0.242745	-0.0947667	0.0165117	0.162275	-0.0288762	-0.00121875	0.0138612	-0.03646	-0.00886333	0.02072	-0.01046	-0.00814125	-0.0311287	0.002365	-0.000595	0.007425	0	0	0	0.0381083	0.294133	-0.00476333
66	-0.0514838	0.0350487	0.309748	-0.0932	0.020735	0.178888	-0.0219413	0.00997125	0.0519475	-0.032205	0.00017	0.0247317	-0.0117188	-0.00702875	-0.0332763	-0.00698333	-0.00907333	-0.0228467	0	0	0	-0.001615	0.08589	0.00311667
67	-0.03834	0.0414425	0.336049	-0.09346	0.02452	0.202408	-0.02675	0.012985	0.078415	-0.028835	0.00726833	0.043775	-0.010345	-0.00803375	-0.0315863	-0.00901667	-0.0108517	-0.0323717	0	0	0	0	0	0
