Time	RHipMomentX	RHipMomentY	RHipMomentZ	LHipMomentX	LHipMomentY	LHipMomentZ	RKneeMomentX	RKneeMomentY	RKneeMomentZ	LKneeMomentX	LKneeMomentY	LKneeMomentZ	RAnkleMomentX	RAnkleMomentY	RAnkleMomentZ	LAnkleMomentX	LAnkleMomentY	LAnkleMomentZ	RGRFX	RGRFY	RGRFZ	LGRFX	LGRFY	LGRFZ
57	0.129817	0.052309	0.373216	-0.190537	-0.0145511	0.854381	0.0351317	0.0737272	0.0792528	-0.136687	-0.0357446	0.539926	0.316734	0.477783	0.768018	-0.10055	-0.148965	-0.23409	1.49587	4.50107	0.21545	0.608457	1.592	-0.0494736
58	0.0516266	0.0374841	0.437797	-0.194034	-0.00372714	0.673484	0.00475793	0.0439959	0.106432	-0.10835	-0.0309143	0.336034	0.223943	0.320763	0.518565	-0.101016	-0.14281	-0.230487	1.10323	3.13096	0.111185	0.213878	0.531355	-0.0438304
59	-0.01284	0.0258614	0.458239	-0.130553	0.00526071	0.391688	-0.0121459	0.0209393	0.114709	-0.0404954	-0.0131929	0.0504168	0.136543	0.184198	0.301342	-0.0372311	-0.0508025	-0.0864086	0.663294	1.96912	0.0385569	0.0265814	0.0631414	-0.00885
60	-0.0595424	0.0185697	0.421757	-0.0905804	0.0102936	0.275921	-0.0182583	0.00646517	0.0925548	-0.0153071	-0.00471571	-0.0426414	0.0652717	0.0843917	0.137576	-0.0133643	-0.0127557	-0.0316175	0.275672	1.08581	-0.000801034	0	0	0
61	-0.0838528	0.0151403	0.31654	-0.0661779	0.0122154	0.275865	-0.017369	-0.000657586	0.0250793	-0.0185479	-0.00178964	-0.023225	0.0138834	0.0210069	0.0270493	-0.0136714	-0.01201	-0.0329221	0.0518969	0.410697	-0.00914034	0	0	0
62	-0.0822797	0.016011	0.187191	-0.0356368	0.0102696	0.301469	-0.0146248	-0.00101517	-0.0563031	-0.0218589	0.00159286	0.0167814	-0.0119483	-0.0063469	-0.0266245	-0.0142211	-0.0130304	-0.0359407	0.00495069	0.0484452	-0.00221759	0	0	0
63	-0.0636714	0.0200052	0.20186	-0.00648857	0.00469107	0.324733	-0.0172541	0.00109552	-0.0484541	-0.0229411	0.00402393	0.0588014	-0.0179303	-0.0135534	-0.0421541	-0.014005	-0.01422	-0.0378586	0	0	0	0	0	0
64	-0.0299483	0.0214876	0.277747	0.0161286	-0.00303857	0.331574	-0.0206466	0.00300517	0.000674483	-0.0215764	0.00458893	0.0909268	-0.0174069	-0.0169855	-0.0456314	-0.0126025	-0.0147611	-0.0367057	0	0	0	0	0	0
65	0.0159579	0.0149486	0.340698	0.0324179	-0.0112214	0.316161	-0.017661	0.00357172	0.0536759	-0.0177175	0.00345	0.108324	-0.0143945	-0.01889	-0.0430614	-0.0102846	-0.0142225	-0.0320421	0	0	0	0	0	0
66	0.062689	0.000208621	0.351319	0.0435879	-0.0180032	0.280015	-0.00694655	0.00239862	0.0894445	-0.01194	0.00131857	0.110873	-0.0104583	-0.0182083	-0.0353359	-0.00774286	-0.0127296	-0.0252129	0	0	0	0	0	0
67	0.0948786	-0.0173328	0.308396	0.0478171	-0.0212918	0.231656	0.0065531	-0.000203448	0.100307	-0.0064	-0.00116286	0.101469	-0.00710552	-0.015569	-0.0257072	-0.00557464	-0.0108436	-0.0183725	0	0	0	0	0	0
68	0.101971	-0.0301279	0.23584	0.042985	-0.0201611	0.182751	0.0153393	-0.00379655	0.0912266	-0.0033025	-0.00354607	0.0852314	-0.00486138	-0.0127831	-0.0173852	-0.00400964	-0.00922179	-0.0132432	0	0	0	0	0	0
69	0.0860048	-0.0344569	0.162233	0.0317496	-0.0164029	0.142168	0.0164707	-0.00760241	0.0732376	-0.00259964	-0.00538821	0.0678779	-0.00351966	-0.0110707	-0.0119045	-0.00300357	-0.00818607	-0.0104039	0	0	0	0	0	0
70	0.0591745	-0.0321969	0.105928	0.0209239	-0.0132686	0.1141	0.0129759	-0.0105214	0.0555231	-0.0021325	-0.00627929	0.0532314	-0.00277483	-0.0104028	-0.00931034	-0.00246357	-0.00759893	-0.00943393	0	0	0	0	0	0
71	0.0366369	-0.0276924	0.0733545	0.0162057	-0.0131575	0.0985907	0.00979897	-0.01181	0.0425024	0.000285	-0.00602036	0.0424057	-0.00241483	-0.0102031	-0.00882069	-0.00231857	-0.00705964	-0.00955393	0	0	0	0	0	0
72	0.0279617	-0.024391	0.0624114	0.0176611	-0.0158296	0.0921007	0.0102038	-0.0113693	0.0346245	0.00469714	-0.00483321	0.0345861	-0.00229793	-0.0099469	-0.00938586	-0.00244964	-0.00632357	-0.0101004	0	0	0	0	0	0
73	0.0316172	-0.0230834	0.0653134	0.0228446	-0.0193404	0.0898471	0.0139376	-0.00965517	0.0297628	0.00980679	-0.00328036	0.0280282	-0.00230517	-0.00934897	-0.010121	-0.00271607	-0.00542393	-0.0107254	0	0	0	0	0	0
74	0.0406603	-0.0224345	0.0735521	0.0296896	-0.0219357	0.0883493	0.0185534	-0.00737379	0.0256962	0.0144943	-0.00180286	0.0213786	-0.00235552	-0.00836931	-0.0105741	-0.00302536	-0.00447571	-0.0113175	0	0	0	0	0	0
75	0.0488379	-0.0212493	0.0779297	0.0367354	-0.0225218	0.0847282	0.0220114	-0.00515552	0.0205317	0.0178207	-0.000541429	0.0147771	-0.00243103	-0.00708828	-0.0107652	-0.00332964	-0.00361286	-0.0118829	0	0	0	0	0	0
76	0.0518931	-0.0193897	0.0755569	0.0433396	-0.0209814	0.07836	0.0235472	-0.00327207	0.0138262	0.0195382	0.000394643	0.00800786	-0.00261103	-0.00567759	-0.0110324	-0.00358036	-0.00292429	-0.0123446	0	0	0	0	0	0
77	0.0511503	-0.0174421	0.0682917	0.0488593	-0.0179011	0.0691943	0.0238207	-0.00161552	0.00629828	0.0198832	0.0010025	0.00123179	-0.00301069	-0.00428034	-0.0116603	-0.00375071	-0.00243429	-0.0126846	0	0	0	0	0	0
78	0.0509303	-0.0160241	0.0577576	0.0543168	-0.0148318	0.0578618	0.0238566	-0.000132759	-0.00120724	0.0201607	0.00149286	-0.00520036	-0.00360586	-0.00301966	-0.0125362	-0.00389393	-0.00205429	-0.0130161	0	0	0	0	0	0
79	0.0508169	-0.0143262	0.0455748	0.0600443	-0.0128514	0.0458789	0.0227962	0.00094931	-0.00813897	0.0211482	0.00192286	-0.0111536	-0.00412276	-0.0021	-0.0131628	-0.00407393	-0.00180821	-0.0134832	0	0	0	0	0	0
80	0.0521183	-0.0123552	0.0331479	0.065975	-0.0119279	0.0328175	0.0212593	0.00160138	-0.0148421	0.0226289	0.00219036	-0.0170039	-0.00443103	-0.00156793	-0.0134548	-0.00424464	-0.00180214	-0.0140343	0	0	0	0	0	0
81	0.0568066	-0.0106386	0.0212293	0.0722725	-0.0115564	0.0174875	0.0206207	0.00202759	-0.0212293	0.0242286	0.00230464	-0.0225411	-0.00465931	-0.00139724	-0.0137869	-0.00437714	-0.00207429	-0.0146761	0	0	0	0	0	0
82	0.0651114	-0.00974069	0.00809517	0.0780075	-0.0111329	0.000546786	0.0212059	0.00252621	-0.0264831	0.0254554	0.00228	-0.0272839	-0.00494897	-0.00154655	-0.0144362	-0.00452	-0.00263679	-0.0155382	0	0	0	0	0	0
83	0.0752076	-0.00975862	-0.00799897	0.0800289	-0.0100946	-0.0152946	0.0224783	0.00316862	-0.0306666	0.0255396	0.00204607	-0.0309343	-0.00526897	-0.00199966	-0.01532	-0.00470429	-0.00349929	-0.0166925	0	0	0	0	0	0
84	0.0819276	-0.00964103	-0.0252607	0.07665	-0.00835893	-0.0288554	0.0233479	0.00374241	-0.0344038	0.0243636	0.00153857	-0.0343661	-0.0055369	-0.00276034	-0.0162697	-0.004965	-0.00459071	-0.01818	0	0	0	0	0	0
85	0.0797545	-0.00838241	-0.0389893	0.0659289	-0.00577571	-0.0390882	0.0225286	0.00396655	-0.0371707	0.0214239	0.000668571	-0.038985	-0.00576517	-0.00388448	-0.0173528	-0.00530107	-0.00586607	-0.0199971	0	0	0	0	0	0
86	0.06585	-0.00594586	-0.0497976	0.0444743	-0.00219964	-0.0474464	0.0189941	0.00367793	-0.0398734	0.0156582	-0.000661786	-0.0468457	-0.0060331	-0.00538138	-0.0186903	-0.00563	-0.00732464	-0.022015	0	0	0	0	0	0
87	0.0407038	-0.00286966	-0.0636369	0.0130071	0.00179321	-0.0568054	0.0126945	0.00278414	-0.0468007	0.00715321	-0.00234179	-0.0603629	-0.00642276	-0.00709103	-0.0202914	-0.00589679	-0.00882679	-0.0239811	0	0	0	0	0	0
88	0.00674517	8e-05	-0.0863728	-0.0214536	0.0048375	-0.0734914	0.00401724	0.00138552	-0.0628241	-0.00198714	-0.00399036	-0.0819211	-0.00692828	-0.00865828	-0.0219103	-0.00613464	-0.01001	-0.0256	0	0	0	0	0	0
89	-0.0309334	0.00188069	-0.121404	-0.0478743	0.00592893	-0.106506	-0.00661828	-0.000167241	-0.0899438	-0.00902571	-0.00526571	-0.11316	-0.00746345	-0.0097069	-0.0232283	-0.0063175	-0.0105357	-0.0264575	0	0	0	0	0	0
90	-0.0654107	0.00238069	-0.168256	-0.0558239	0.00504464	-0.162761	-0.0187355	-0.00155655	-0.127338	-0.0118811	-0.00594429	-0.153863	-0.00783517	-0.0101793	-0.0240152	-0.00628464	-0.01028	-0.0260807	0	0	0	0	0	0
91	-0.0889645	0.00144207	-0.225449	-0.0422661	0.00247393	-0.242586	-0.0314731	-0.00263897	-0.171026	-0.00935786	-0.0056	-0.200658	-0.0078469	-0.0104069	-0.0240983	-0.00585286	-0.00921929	-0.0240332	0	0	0	0	0	0
92	-0.0923676	-0.00113034	-0.295797	-0.0140989	-0.00150214	-0.340153	-0.0413621	-0.00272276	-0.217326	-0.000282857	-0.0033825	-0.249286	-0.00740069	-0.0102055	-0.0229203	-0.00495214	-0.00708	-0.0197964	0	0	0	0	0	0
93	-0.0738128	-0.00424172	-0.382773	0.0158182	-0.00598893	-0.44626	-0.0444097	-0.00059931	-0.263873	0.0168268	0.00117107	-0.299393	-0.00645483	-0.00883759	-0.0197917	-0.003615	-0.00319786	-0.0128379	0	0	0	0	0	0
94	-0.0424676	-0.00664586	-0.481796	0.0344314	-0.00923393	-0.549063	-0.0384334	0.00438862	-0.309218	0.0411493	0.00685429	-0.35548	-0.00500793	-0.00558345	-0.0143269	-0.00182571	0.00280893	-0.00325464	0	0	0	0	0	0
95	-0.0141683	-0.00820345	-0.582952	0.0281075	-0.010175	-0.633408	-0.0240159	0.0114797	-0.355685	0.0654682	0.0109039	-0.419139	-0.00307241	0.000120345	-0.00654759	0.000588571	0.0100932	0.00772286	0	0	0	0	0	0
96	-0.00942241	-0.00969138	-0.670161	-0.0106739	-0.0088825	-0.684065	-0.00794552	0.0178845	-0.406395	0.0784071	0.0112854	-0.47731	-0.000524138	0.00781897	0.00276241	0.00358536	0.0166314	0.0177982	0	0	0	0	0	0
97	-0.0479269	-0.0131066	-0.726292	-0.0656329	-0.00535	-0.684452	-0.00221379	0.020091	-0.456981	0.0746864	0.00886821	-0.500349	0.00280241	0.0156807	0.012029	0.00627	0.020625	0.0242518	0	0	0	0	0	0
