Time	RHipMomentX	RHipMomentY	RHipMomentZ	LHipMomentX	LHipMomentY	LHipMomentZ	RKneeMomentX	RKneeMomentY	RKneeMomentZ	LKneeMomentX	LKneeMomentY	LKneeMomentZ	RAnkleMomentX	RAnkleMomentY	RAnkleMomentZ	LAnkleMomentX	LAnkleMomentY	LAnkleMomentZ	RGRFX	RGRFY	RGRFZ	LGRFX	LGRFY	LGRFZ
38	0.634933	0.127147	0.350727	0.551098	0.1191	0.232185	0.26137	0.132623	-0.32051	0.481065	0.17532	-0.296495	0.0594733	0.47991	1.11018	0.0778875	0.471977	1.09237	0.546023	8.71769	0.391233	0.412517	8.03664	0.354212
39	0.698657	0.13693	0.395937	0.616542	0.13139	0.271838	0.291367	0.145267	-0.316053	0.53105	0.192568	-0.31184	0.0749167	0.528147	1.21093	0.098055	0.528793	1.21476	0.65485	9.4178	0.42343	0.52571	8.84918	0.34994
40	0.765167	0.145773	0.451383	0.679835	0.143657	0.321398	0.321153	0.15719	-0.305503	0.579128	0.20973	-0.318098	0.0935233	0.578627	1.31172	0.121575	0.5889	1.34111	0.784587	10.0944	0.449433	0.65626	9.67375	0.353633
41	0.825433	0.152827	0.51921	0.734675	0.153808	0.378043	0.347717	0.167433	-0.28947	0.623818	0.22577	-0.315645	0.11599	0.630023	1.4089	0.149012	0.650462	1.46535	0.935137	10.72	0.464607	0.80877	10.467	0.367565
42	0.86999	0.15687	0.59184	0.78009	0.16038	0.437175	0.368253	0.17524	-0.269103	0.664938	0.239895	-0.304355	0.142737	0.680567	1.4985	0.18064	0.711358	1.58102	1.10403	11.2689	0.466987	0.985138	11.1858	0.391235
43	0.897607	0.157453	0.66244	0.812713	0.162825	0.493823	0.382733	0.18026	-0.24477	0.700635	0.25165	-0.284032	0.173543	0.728103	1.57625	0.215815	0.76913	1.68208	1.28692	11.7171	0.457217	1.18172	11.7922	0.421487
44	0.9117	0.15509	0.729	0.82847	0.161695	0.546148	0.39248	0.18266	-0.21546	0.728502	0.260877	-0.254625	0.207223	0.77033	1.63783	0.252713	0.821105	1.76347	1.47815	12.0437	0.438203	1.39213	12.2572	0.45311
45	0.912723	0.15026	0.784607	0.829622	0.157743	0.590877	0.397717	0.182803	-0.18141	0.747993	0.267445	-0.217187	0.241783	0.804993	1.67946	0.288972	0.864892	1.82167	1.67183	12.2301	0.414057	1.60997	12.5623	0.481225
46	0.901173	0.143543	0.82483	0.820512	0.151515	0.64079	0.398487	0.1812	-0.144027	0.757015	0.270745	-0.163103	0.27485	0.83012	1.69808	0.32309	0.894837	1.84458	1.86257	12.2617	0.388297	1.80168	12.6443	0.508948
47	0.878197	0.134953	0.845153	0.798992	0.142135	0.673065	0.39546	0.178353	-0.104747	0.755912	0.271218	-0.110865	0.30427	0.843967	1.69168	0.352042	0.915145	1.84826	2.04485	12.1294	0.362493	2.00464	12.5972	0.521575
48	0.842713	0.124107	0.84286	0.769707	0.129645	0.693115	0.388347	0.17441	-0.0651	0.742675	0.268307	-0.0573525	0.328247	0.84474	1.65916	0.37505	0.921607	1.82448	2.21294	11.8293	0.335937	2.19396	12.3738	0.521428
49	0.792	0.111067	0.821353	0.727313	0.11498	0.704547	0.37549	0.169077	-0.02671	0.71459	0.261725	-0.0030625	0.345247	0.83085	1.60015	0.390795	0.911698	1.76998	2.35929	11.3615	0.305837	2.35206	11.9601	0.50727
50	0.724613	0.0958333	0.786137	0.66612	0.0990025	0.7057	0.35543	0.161807	0.00994333	0.670647	0.251493	0.04916	0.35379	0.800877	1.51445	0.397443	0.884232	1.68464	2.47119	10.7266	0.268897	2.46732	11.3568	0.476385
51	0.6368	0.0782067	0.740837	0.587895	0.0815625	0.690217	0.326547	0.151927	0.0442867	0.611785	0.23761	0.0958975	0.35222	0.75345	1.40159	0.392825	0.838693	1.5694	2.53103	9.92225	0.222977	2.53003	10.5679	0.427053
52	0.52652	0.05843	0.69366	0.493303	0.0624775	0.657372	0.2873	0.138353	0.07652	0.537878	0.219625	0.134373	0.338823	0.68685	1.25987	0.37495	0.77418	1.42462	2.51286	8.93863	0.16814	2.52602	9.5942	0.359995
53	0.399763	0.0377933	0.66897	0.38097	0.0425175	0.616478	0.236037	0.119557	0.1111	0.44851	0.196187	0.162568	0.311577	0.598203	1.08463	0.342992	0.689165	1.24996	2.373	7.75394	0.1086	2.43389	8.43643	0.278782
54	0.26963	0.0195933	0.680107	0.25874	0.023825	0.582665	0.17388	0.0956267	0.144823	0.346362	0.166337	0.178807	0.26989	0.48942	0.87921	0.29773	0.583483	1.04661	2.09658	6.38686	0.0514267	2.23329	7.10806	0.19104
55	0.152287	0.00894	0.675483	0.142925	0.0102025	0.569665	0.111977	0.0710667	0.14728	0.238445	0.13131	0.180792	0.219083	0.376027	0.670837	0.24207	0.461863	0.822603	1.77968	4.96206	-0.000696667	1.92542	5.66059	0.109118
56	0.04285	0.00506333	0.67867	0.046425	0.0046175	0.574282	0.0504333	0.0464233	0.13978	0.136325	0.0946975	0.167835	0.161107	0.260217	0.462033	0.18138	0.335365	0.595643	1.37255	3.53406	-0.03635	1.54081	4.20259	0.0452275
57	-0.05523	0.0052	0.649967	-0.0306	0.00621	0.57702	0.000756667	0.02508	0.120233	0.051705	0.0613025	0.144745	0.104357	0.156587	0.276807	0.12236	0.218728	0.388052	0.944017	2.2619	-0.0501167	1.129	2.87101	0.0060175
58	-0.13444	0.0042	0.56899	-0.0924225	0.01056	0.560545	-0.0289967	0.00886667	0.0895733	-0.00655	0.035005	0.118275	0.0560967	0.0771467	0.132903	0.0710425	0.12476	0.21776	0.564043	1.26527	-0.0428433	0.74154	1.76941	-0.0092925
59	-0.185017	-0.000566667	0.45728	-0.134218	0.0129775	0.52321	-0.04222	-0.00334	0.0534233	-0.0368275	0.0169275	0.0923875	0.0208167	0.0255167	0.03604	0.0311525	0.0588975	0.092025	0.276963	0.58165	-0.02434	0.418697	0.941298	-0.00855
60	-0.19496	-0.00138667	0.375417	-0.15191	0.0128725	0.47817	-0.05266	-0.01018	0.0224033	-0.05111	0.00464	0.0719025	-0.0088	-0.00885667	-0.0303933	0.0024075	0.01487	0.0019025	0	0	0	0.134945	0.295038	-0.0027325
61	-0.157947	0.000433333	0.344007	-0.14837	0.0129175	0.424005	-0.0570233	-0.0135267	0.0299433	-0.0601625	-0.004665	0.055015	-0.0148967	-0.0193667	-0.0470033	-0.0123075	-0.0132475	-0.051015	0	0	0	0	0	0
62	-0.0876267	0.00709	0.351457	-0.12343	0.01426	0.376018	-0.0567667	-0.0127167	0.0600367	-0.0644525	-0.0062425	0.0757975	-0.0123933	-0.0232733	-0.0452967	-0.0089975	-0.016	-0.0488325	0	0	0	0	0	0
63	-0.02472	0.0163767	0.367833	-0.10271	0.0190075	0.357815	-0.05478	-0.0104467	0.0971033	-0.0722175	-0.00964	0.102175	-0.00909333	-0.02651	-0.0410967	-0.005485	-0.0214825	-0.0455575	0	0	0	0	0	0
64	0.00527667	0.0246933	0.36843	-0.089935	0.0244475	0.359992	-0.05136	-0.00896333	0.125007	-0.0760025	-0.0135275	0.127358	-0.00645667	-0.0274	-0.0356867	-0.002885	-0.0255475	-0.0398725	0	0	0	0	0	0
65	0.00626667	0.02931	0.344603	-0.08914	0.0292125	0.354897	-0.04634	-0.00829	0.13454	-0.0746825	-0.0168125	0.137725	-0.00495333	-0.02553	-0.03038	-0.00173	-0.027015	-0.03385	0	0	0	0	0	0
66	-0.00029	0.02929	0.297737	-0.0978225	0.034045	0.32924	-0.0398233	-0.00709667	0.127333	-0.0727125	-0.018415	0.131993	-0.00421667	-0.02175	-0.0257867	-0.0013275	-0.0262775	-0.02894	0	0	0	0	0	0
67	0.00223333	0.0255133	0.242333	-0.101265	0.0376825	0.287573	-0.0314367	-0.00465667	0.111757	-0.0702375	-0.0174425	0.11828	-0.00383333	-0.0171433	-0.0220333	-0.001155	-0.023895	-0.02539	0	0	0	0	0	0
68	0.0110933	0.0198633	0.19164	-0.0879375	0.037235	0.24258	-0.0220133	-0.00146667	0.0948567	-0.06312	-0.0138825	0.102915	-0.00364	-0.0125167	-0.0191367	-0.001225	-0.020085	-0.0228	0	0	0	0	0	0
69	0.0126533	0.0149167	0.146413	-0.065895	0.0330925	0.203473	-0.0147533	0.00129333	0.0789667	-0.05134	-0.0093175	0.0866625	-0.00353667	-0.00855667	-0.01693	-0.001515	-0.01546	-0.0206475	0	0	0	0	0	0
70	0.00348333	0.01269	0.106357	-0.049945	0.02825	0.16795	-0.01145	0.00249	0.06287	-0.04002	-0.005655	0.068815	-0.00341	-0.00567667	-0.0150733	-0.0018375	-0.011015	-0.0186075	0	0	0	0	0	0
71	-0.01182	0.0131467	0.0717667	-0.04505	0.02414	0.129025	-0.0113733	0.00179	0.0463533	-0.0325275	-0.00356	0.05096	-0.00317667	-0.00391333	-0.0133433	-0.00207	-0.0074	-0.01672	0	0	0	0	0	0
72	-0.0285	0.01481	0.0442	-0.0428775	0.019905	0.085305	-0.0130233	-0.000126667	0.03137	-0.02754	-0.0027925	0.0345775	-0.00281333	-0.00311333	-0.0117467	-0.0021925	-0.0048125	-0.015135	0	0	0	0	0	0
73	-0.04303	0.0158233	0.0223533	-0.038715	0.015685	0.0435325	-0.0152633	-0.00230333	0.0195867	-0.0238425	-0.00291	0.0203275	-0.00240667	-0.00315333	-0.0104933	-0.0021925	-0.00337	-0.013915	0	0	0	0	0	0
74	-0.0533767	0.0148433	0.00187667	-0.036695	0.0130225	0.01427	-0.0169033	-0.00409	0.0113567	-0.02198	-0.0033825	0.0092125	-0.0021	-0.00380333	-0.00986667	-0.00206	-0.00305	-0.0131025	0	0	0	0	0	0
75	-0.0583433	0.0131833	-0.0147967	-0.0382825	0.0122075	-0.000585	-0.0174033	-0.00518	0.00567	-0.02186	-0.0038275	0.001955	-0.00205	-0.00478333	-0.0101433	-0.0018625	-0.0036025	-0.0127775	0	0	0	0	0	0
76	-0.0583667	0.0128267	-0.0262133	-0.040355	0.01237	-0.0089	-0.0178233	-0.00578	0.000503333	-0.0227975	-0.0041875	-0.0020325	-0.00216333	-0.00586	-0.01108	-0.00166	-0.0046975	-0.0129075	0	0	0	0	0	0
