Time	RHipMomentX	RHipMomentY	RHipMomentZ	LHipMomentX	LHipMomentY	LHipMomentZ	RKneeMomentX	RKneeMomentY	RKneeMomentZ	LKneeMomentX	LKneeMomentY	LKneeMomentZ	RAnkleMomentX	RAnkleMomentY	RAnkleMomentZ	LAnkleMomentX	LAnkleMomentY	LAnkleMomentZ	RGRFX	RGRFY	RGRFZ	LGRFX	LGRFY	LGRFZ
51	0.7581	0.13165	0.252065	0.8155	0.121287	0.311379	0.327737	0.13978	-0.117265	0.455341	0.170093	-0.197313	0.298715	0.57762	1.19697	0.11969	0.66446	1.30609	1.42003	9.73765	0.478212	1.47554	10.1385	0.583136
52	0.720725	0.123912	0.246645	0.760509	0.112651	0.316727	0.321852	0.139125	-0.0912475	0.434716	0.16417	-0.172751	0.322192	0.588865	1.17016	0.139113	0.665604	1.27984	1.48675	9.44013	0.45209	1.56983	9.87793	0.545471
53	0.649855	0.107945	0.229025	0.67876	0.0987929	0.315827	0.302063	0.13157	-0.0630025	0.400756	0.153006	-0.14683	0.337743	0.584673	1.11863	0.157766	0.655023	1.23457	1.53771	8.98919	0.401103	1.64709	9.48037	0.482424
54	0.547687	0.0840925	0.21612	0.575431	0.0804686	0.312866	0.264378	0.114675	-0.030545	0.353509	0.136174	-0.120886	0.340463	0.557637	1.03532	0.174139	0.630529	1.1675	1.55988	8.35058	0.322085	1.69879	8.92662	0.394329
55	0.436752	0.0594275	0.221505	0.459321	0.0606429	0.313704	0.214328	0.092655	0.0029925	0.294017	0.114899	-0.09512	0.32905	0.51047	0.925078	0.185091	0.591116	1.07707	1.53971	7.52956	0.225553	1.71483	8.20871	0.285049
56	0.34159	0.0411625	0.247873	0.34294	0.0422686	0.321657	0.16317	0.0720525	0.0330925	0.228	0.0914243	-0.0681843	0.303775	0.45012	0.797285	0.187424	0.53628	0.962504	1.46694	6.55291	0.130783	1.68362	7.32645	0.168954
57	0.26827	0.02965	0.287408	0.238536	0.0264486	0.336437	0.118853	0.055855	0.05845	0.163629	0.0682486	-0.0378743	0.26537	0.380515	0.658035	0.179033	0.465967	0.823909	1.33231	5.4541	0.054635	1.59108	6.28506	0.0669686
58	0.203545	0.019985	0.329815	0.149119	0.0131214	0.355791	0.08188	0.042925	0.0799125	0.105323	0.0473414	-0.00420286	0.216613	0.303782	0.512393	0.158927	0.381541	0.664779	1.12947	4.2881	0.005285	1.42409	5.10748	-0.00808429
59	0.13172	0.0085775	0.36665	0.0736157	0.00211714	0.375667	0.0489	0.0308475	0.0966225	0.0555143	0.0299129	0.02956	0.162893	0.224395	0.369222	0.128347	0.287441	0.494299	0.866943	3.14592	-0.0177225	1.17853	3.85362	-0.05137
60	0.0494975	-0.0033625	0.384992	0.00780429	-0.00609429	0.392084	0.018765	0.018625	0.103745	0.0162086	0.0165971	0.0585614	0.11086	0.149925	0.240688	0.0915457	0.192374	0.327556	0.57787	2.13664	-0.0204975	0.869387	2.63053	-0.0634514
61	-0.030575	-0.012045	0.369918	-0.05352	-0.0108286	0.388963	-0.00528	0.0074925	0.096575	-0.01104	0.00718	0.0739914	0.0665175	0.0882575	0.13727	0.0549129	0.107921	0.182561	0.313912	1.3439	-0.012415	0.539566	1.56952	-0.0522143
62	-0.0917875	-0.01422	0.30349	-0.101266	-0.0124271	0.348896	-0.0203525	-0.0008375	0.06568	-0.0233486	0.00113286	0.0707457	0.032985	0.04273	0.062555	0.0252857	0.04542	0.0746214	0.131853	0.718425	-0.006915	0.256617	0.792434	-0.0306357
63	-0.118758	-0.00984	0.19608	-0.120113	-0.0116786	0.249906	-0.0256925	-0.004665	0.012665	-0.0204	-0.00261714	0.0341157	0.00991	0.012625	0.0133425	0.00355429	0.00503	0.00233286	0.0400925	0.255582	-0.00312	0.0472943	0.170153	-0.00673286
64	-0.09943	-0.0041425	0.130198	-0.103993	-0.00994	0.1495	-0.02138	-0.0034375	-0.0160025	-0.00977857	-0.00363	-0.000791429	-0.00188	-0.001795	-0.01153	-0.00565143	-0.00966857	-0.0281443	0.00406	0.152278	-0.00117	0	0	0
65	-0.0477825	-0.0006325	0.142085	-0.0689314	-0.00674429	0.107201	-0.0119325	0.0012525	-0.0040125	-0.00304286	-0.00218286	-0.0111314	-0.00667	-0.006245	-0.021895	-0.00797857	-0.0130543	-0.03754	0	0	0	0	0	0
66	0.0010175	0.001205	0.153243	-0.03416	-0.00235286	0.134056	-0.00359	0.0052225	-0.0019625	-0.00307	0.00112429	0.00540714	-0.01042	-0.0102125	-0.029505	-0.00785714	-0.0141143	-0.0393214	0	0	0	0	0	0
67	0.0414025	-0.0007275	0.207375	-0.01429	0.00172286	0.182006	0.00262	0.00744	0.03201	-0.00747714	0.00369714	0.0304829	-0.01058	-0.010895	-0.0318025	-0.00651143	-0.0146429	-0.0364186	0	0	0	0	0	0
68	0.059345	-0.0044225	0.228208	-0.0154971	0.00411143	0.209854	0.0047425	0.0063175	0.0536075	-0.0142157	0.00315857	0.0509757	-0.00983	-0.01191	-0.0317575	-0.00466714	-0.0143857	-0.0301043	0	0	0	0	0	0
69	0.059175	-0.008755	0.21542	-0.0318943	0.00511286	0.202174	0.0039975	0.0032675	0.06397	-0.0214343	-0.000202857	0.0605243	-0.00814	-0.012325	-0.0287	-0.00301714	-0.0138643	-0.0232971	0	0	0	0	0	0
70	0.0459525	-0.010775	0.183727	-0.0472286	0.00508714	0.166999	0.0009025	0.000155	0.06404	-0.0260557	-0.00374714	0.0604386	-0.0062	-0.01221	-0.023905	-0.00183	-0.0133329	-0.0180129	0	0	0	0	0	0
71	0.02811	-0.0087875	0.15453	-0.0509414	0.00429857	0.120381	-0.0033425	-0.002035	0.0581625	-0.0266657	-0.00559857	0.05504	-0.004535	-0.0117025	-0.019065	-0.00112857	-0.0128943	-0.0147943	0	0	0	0	0	0
72	0.012375	-0.003895	0.136215	-0.0485471	0.00430286	0.0778614	-0.0071725	-0.00348	0.04889	-0.02567	-0.00590286	0.0480257	-0.0034875	-0.0110525	-0.0155325	-0.000805714	-0.0125343	-0.0130886	0	0	0	0	0	0
73	-0.00122	0.0016025	0.124925	-0.04986	0.00632286	0.0513957	-0.010525	-0.0047475	0.0379725	-0.0257086	-0.00578	0.04132	-0.00304	-0.010445	-0.0136125	-0.00075	-0.0121471	-0.0121857	0	0	0	0	0	0
